No,N,E,Z
1,0.00,0.00,0.00
2,0.70,0.30,278.00
3,0.70,0.20,582.00
4,1.00,-0.10,868.00
5,4.80,-0.80,1185.00
6,9.70,-1.90,1470.90
7,15.60,-4.10,1788.90
8,24.40,-3.50,2137.70
9,28.70,1.00,2397.70
10,31.30,5.20,2767.60
11,35.40,3.00,3084.60
12,35.80,3.30,3379.60
13,30.40,3.00,3696.50
14,24.60,-8.50,3975.20
15,17.40,-35.50,4290.90
16,9.20,-65.80,4565.10
17,8.70,-70.00,4598.90
18,9.30,-78.00,4662.30
19,9.90,-86.70,4733.80
20,10.00,-90.50,4765.60
21,10.10,-94.50,4797.30
22,10.30,-98.20,4827.10
23,10.70,-102.10,4858.90
24,11.10,-105.50,4890.70
25,11.50,-108.50,4921.50
26,11.80,-111.20,4953.40
27,11.80,-113.60,4985.30
28,11.60,-115.50,5017.30
29,11.20,-116.80,5048.20
30,10.90,-117.80,5080.20
31,10.80,-118.70,5112.20
32,10.80,-119.60,5144.20
33,11.10,-120.50,5176.20
34,11.50,-121.30,5207.20
35,11.70,-122.00,5239.20
36,11.70,-122.50,5271.20
37,11.40,-123.10,5303.20
38,11.00,-123.90,5334.10
39,10.60,-124.60,5366.10
40,10.20,-124.90,5398.10
41,7.60,-124.30,5672.10
42,8.60,-125.30,5865.10
43,13.30,-127.70,6055.00
44,23.40,-129.80,6337.80
45,28.80,-131.50,6470.70
46,32.20,-135.40,6597.60
47,33.30,-142.20,6722.40
48,33.60,-144.70,6759.30
49,33.90,-146.80,6790.20
50,34.20,-149.00,6822.20
51,34.60,-150.90,6854.10
52,34.80,-152.40,6886.10
53,34.90,-153.40,6918.10
54,34.70,-154.80,6981.00
55,34.70,-155.30,7013.00
56,34.90,-155.90,7045.00
57,35.10,-156.50,7076.00
58,35.10,-157.20,7108.00
59,35.60,-163.30,7348.90
